corpus,classification,tsne_x,tsne_y
Bible (KJV),evil,4.566533,-27.771511
Bible (KJV),evil,-4.026157,11.475598
Bible (KJV),good,9.113326,19.3951
Bible (KJV),good,11.222703,21.051765
Bible (KJV),evil,8.426135,14.695172
Bible (KJV),evil,6.6781597,9.651464
Bible (KJV),good,3.7769196,13.287928
Bible (KJV),good,4.9566836,11.529026
Bible (KJV),evil,-15.318093,10.327602
Bible (KJV),evil,-8.853715,12.9391575
Bible (KJV),good,-7.46002,9.192957
Bible (KJV),good,-12.361256,15.647918
Bible (KJV),good,-8.525373,-10.801268
Bible (KJV),evil,3.8468437,-1.5190878
Bible (KJV),evil,2.48746,5.002101
Bible (KJV),good,0.25900286,4.503035
Bible (KJV),evil,-5.384424,4.2907395
Bible (KJV),evil,-13.543065,3.3344455
Bible (KJV),evil,10.029869,7.8196135
Bible (KJV),evil,-4.2270184,10.391456
Bible (KJV),good,4.664516,16.10718
Bible (KJV),good,-1.8482478,9.596801
Bible (KJV),evil,0.62104195,6.627563
Bible (KJV),good,-1.0537862,9.210159
Bible (KJV),evil,8.486877,10.9291525
Bible (KJV),good,0.23443882,8.614163
Bible (KJV),evil,-4.40566,6.935307
Bible (KJV),evil,-1.8099163,-2.1127923
Bible (KJV),evil,0.11937537,24.65597
Bible (KJV),evil,-3.6016333,5.764618
Bible (KJV),good,-1.6914006,6.504916
Bible (KJV),good,-0.8632357,7.0966015
Bible (KJV),evil,-2.4055827,5.800098
Bible (KJV),evil,-2.7837117,7.932221
Bible (KJV),evil,0.12221591,24.605103
Bible (KJV),good,-8.011591,14.163868
Bible (KJV),good,0.8224763,25.381836
Bible (KJV),evil,3.300387,10.231572
Bible (KJV),evil,0.79441696,1.9477285
Bible (KJV),evil,9.295782,9.404526
Bible (KJV),evil,2.5330558,6.8349094
Bible (KJV),good,12.158694,-2.0441506
Bible (KJV),evil,12.254819,1.451382
Bible (KJV),good,12.577859,-8.229893
Bible (KJV),good,8.964605,-3.664015
Bible (KJV),evil,6.866243,-1.3889705
Bible (KJV),evil,6.4825125,-0.91814435
Bible (KJV),evil,4.7741356,-3.2199137
Bible (KJV),evil,4.8432155,-0.04684126
Bible (KJV),evil,11.295408,8.509926
Bible (KJV),evil,-0.32681724,-0.6353689
Bible (KJV),evil,0.52426356,-0.0070051923
Bible (KJV),good,1.4070745,-1.8660537
Bible (KJV),evil,9.185805,-5.5975094
Bible (KJV),good,12.797126,-7.1804466
Bible (KJV),good,13.781602,-6.337602
Bible (KJV),evil,4.695225,1.6163498
